Rank,Player,GP,MSR,MSR AVG,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
161,Isaac Johnson,4,20.87,5.2175,14.1,6.8,2.3,6,37.5,1.3,4.3,29.4,0.5,0.5,100,0.8,1,1.8,1,1.3,0,0.8,3.3,-4,
162,Taylor Hendricks,3,20.73,6.91,25.5,10.7,3.3,9.3,35.7,0.7,5.7,11.8,1.7,2,83.3,1.3,2.7,4,1,1.3,0.3,1.7,3.3,2,
163,Zeke Mayo,2,20.72,10.36,17.3,7,2,6,33.3,1,3.5,28.6,1,1,100,0,1.5,1.5,0.5,1.5,3,0,0.5,-2,
164,Rashaun Agee,4,20.6,5.15,16.1,6,2.5,5,50,0,0.3,0,0.5,0.5,100,2,3.5,5.5,1.3,1.5,0.8,0.5,3,7,
165,John Butler Jr.,4,20.57,5.1425,2.6,1.5,0.3,0.5,50,0.3,0.5,50,0.3,0.3,100,0.5,0,0.5,0.3,0.8,0,0,0.3,-3,
166,RJ Davis,4,20.47,5.1175,25.2,12.8,4.5,11.8,38.3,1,5.3,19,1.8,2.8,63.6,1,3.5,4.5,2.3,2.8,1.5,0,1,2,
167,RayJ Dennis,1,20.47,20.47,15.8,10,3,7,42.9,0,3,0,2,2,100,0,2,2,3,1,3,0,0,8,
168,Chris Bell,3,20.46,6.82,9.3,5,1.7,3.7,45.5,0.7,2,33.3,0.7,0.7,100,0.3,0.3,0.7,0,1,0.7,0.3,1.7,-3,
169,Amari Williams,3,20.4,6.8,28.2,11.7,3.7,6.7,55,0,0,0,2.3,4,58.3,2.7,5.7,8.3,2.7,3,0.7,2.7,3.3,5,
170,Koby Brea,4,20.39,5.0975,27.7,7.8,2.5,9,27.8,1.8,6.3,28,0.8,1,75,0.8,1.8,2.5,2,1.8,1,0.3,2,4,
171,Kasparas Jakučionis,2,20.37,10.185,21.7,9,2.5,9.5,26.3,1.5,3,50,1,1.5,66.7,1.5,0,1.5,5,3.5,2.5,0,3,-6,
172,TJ Bamba,1,20.36,20.36,16.6,7,2,8,25,1,4,25,1,1,100,1,2,3,3,1,0,0,2,1,
173,Jon Elmore,1,20.3,20.3,18.6,6,2,3,66.7,2,3,66.7,0,0,0,0,4,4,5,1,3,2,0,16,
174,Reece Beekman,4,20.29,5.0725,26.3,6.5,2,5.5,36.4,1,2.3,44.4,1,1.8,57.1,1,2,3,4,2.3,2.3,1.5,1.5,1,
175,Braden Smith,4,20.24,5.06,27.6,7.3,1.8,6.8,25.9,1,3.5,28.6,1.8,2.3,77.8,0.8,4,4.8,6.5,2.8,1.8,0,3.3,-6,
176,Igor Milicic Jr.,4,20.14,5.035,16,5.3,1.5,4.8,31.6,0.8,3.5,21.4,0.8,0.8,100,1.5,4.5,6,1,1.8,1,0.8,2.3,-4,
177,Ryan Nembhard,2,20.08,10.04,31.7,13.5,4.5,13,34.6,0.5,4,12.5,2,2.5,80,0,2.5,2.5,8,3.5,1,0.5,3,-19,
178,Malik Dia,4,20.05,5.0125,17.2,9.8,3.5,9,38.9,1,2.8,36.4,1,1.5,66.7,1,4,5,0.3,0.8,0.8,0.8,2,-2,
179,Jahmi'us Ramsey,3,20.02,6.673333333,15.9,4.3,1.3,4.3,30.8,1,3.3,30,0.3,0.3,100,0.7,2,2.7,0.7,1,0.3,0,0.3,1,
180,Melvin Council Jr.,3,20.01,6.67,23.6,8,3.3,7,47.6,0.7,2,33.3,0.3,0.7,50,0.3,1.3,1.7,3.7,1.7,1.3,0.3,2.3,11,
181,Daishen Nix,3,19.99,6.663333333,23.3,10,3,8,37.5,1.3,4.7,28.6,2,3,66.7,1.3,1.7,3,1,3.7,1.7,0.7,2.7,-4,
182,Frankie Fidler,3,19.88,6.626666667,21.1,9.3,2.3,8.3,28,0.7,3.3,20,2,2.3,85.7,0.3,3,3.3,1.3,2,1.3,0.3,1.3,3,
183,Hyunjung Lee,4,19.82,4.955,15,9.3,2,6.3,32,1.3,4.8,26.3,2.3,2.8,81.8,1,1.8,2.8,0.3,1.3,1,0.8,1.3,4,
184,Gabe Madsen,3,19.77,6.59,20.5,5.3,1.7,7,23.8,0.7,4.7,14.3,0.7,0.7,100,0.7,3.3,4,2.3,1.3,0.7,0.3,2.7,3,
185,Hank Morgan,3,19.72,6.573333333,6.4,3,1,2,50,0.3,1.3,25,0.3,0.3,100,0.3,0.3,0.7,0,0.3,0,0,1,5,
186,Cody Williams,2,19.72,9.86,26.8,8,3,7,42.9,1,2,50,0.5,1,50,0.5,3,3.5,1.5,3,2.5,0.5,1.5,-11,
187,Brooks Barnhizer,3,19.72,6.573333333,24.9,10,3.3,8.3,40,0,1.7,0,1.7,2,83.3,2.3,6.3,8.7,2.7,2.3,1.7,0.7,3.3,-6,
188,Tyler Burton,3,19.7,6.566666667,13,7.3,2.7,5,53.3,1,2,50,0.7,1.3,50,1,1.7,2.7,0.7,1.7,0.3,0.3,2.3,0,
189,Trey Kaufman-Renn,4,19.61,4.9025,12.2,6.5,1.8,3.3,53.8,0,0.5,0,1.5,1.5,100,1.8,1.8,3.5,0.3,0.8,0.8,0,2,4,
190,Devon Higgs,2,19.49,9.745,18.5,8,3,7,42.9,0,2,0,1,1,100,0.5,1.5,2,0.5,1,2,1,1,2,
191,Michael Ajayi,4,19.47,4.8675,19.4,8.5,3,5.5,54.5,0.8,2.5,30,1,2,50,2.3,4.5,6.8,1,0.8,1,0.8,2.3,-2,
192,TyTy Washington Jr.,4,19.47,4.8675,19.3,7,2.8,5.8,47.8,1,2.3,44.4,0.3,0.5,50,0.5,2.8,3.3,3.3,1.5,1.8,0,1.3,-1,
193,Taye Fields,4,19.47,4.8675,16.8,2.5,1,1.8,57.1,0.3,0.5,50,0.3,0.5,50,2,2.3,4.3,1.3,0.5,1.5,0,3,-1,
194,Joshua Jefferson,2,19.45,9.725,22.1,9,2.5,7.5,33.3,0.5,3.5,14.3,2.5,3,83.3,0,1,1,1,2,2,0.5,1.5,4,
195,Nick Jourdain,3,19.45,6.483333333,14.4,3.3,0.7,2.3,28.6,0.3,1.3,25,1,1,100,1,3.3,4.3,2.3,0.7,0.3,0,0.7,4,
196,Bryce Harris,1,19.42,19.42,4.2,4,1,2,50,1,1,100,1,4,25,1,0,1,0,0,0,0,0,-1,
197,Boopie Miller,3,19.42,6.473333333,9.4,4.3,1.3,5,26.7,1,2.7,37.5,0.3,0.3,100,0.7,0.3,1,1.7,1.3,1,0,0.7,-1,
198,Marquel Sutton,4,19.4,4.85,14.8,3.8,1.3,3,41.7,0.3,1.3,20,0.5,0.5,100,1.3,2,3.3,1,0.8,0.3,0.3,2.8,-5,
199,Mark Mitchell Jr.,2,19.4,9.7,14.5,4,1.5,2.5,60,0,1,0,1,1,100,1,1,2,0.5,0,0,1,1,2,
200,Hunter Dickinson,3,19.29,6.43,25.5,13.3,5.3,12,44.4,2,5,40,0.3,1.3,25,3,2.7,5.7,2.7,1.3,0.7,0.7,4,-2,
201,Peter Suder,3,19.27,6.423333333,16.4,6.3,2.3,5.3,43.8,1,3,33.3,0.3,0.7,50,0.7,2.7,3.3,3,2,0.3,0,3.3,15,
202,Roddy Gayle Jr.,3,19.22,6.406666667,11.6,6.7,2.7,3.3,80,1.3,1.7,80,0,0,0,0.3,2,2.3,0.7,0.3,0.3,0.3,1.7,-3,
203,Luke Travers,3,19.16,6.386666667,15.5,4.7,1.3,5,26.7,0.7,2.7,25,0.7,0.7,100,1,1.3,2.3,1.3,1.7,1.7,0,0.3,-1,
204,Orlando Robinson,4,19.15,4.7875,20.7,11.8,3.8,8.3,45.5,0.5,2.3,22.2,2,3.5,57.1,2.3,3.8,6,1.3,1.3,0.8,1,2.3,-5,
205,Mark Sears,2,19.09,9.545,16.6,5.5,2,7,28.6,0.5,3,16.7,1,1,100,0,0.5,0.5,2,2.5,1,0,1.5,1,
206,Olivier-Maxence Prosper,2,18.94,9.47,27,15.5,6,13,46.2,2.5,7,35.7,0.5,2,25,3,2,5,1.5,2.5,0.5,0,3.5,-9,
207,Nimari Burnett,3,18.91,6.303333333,23.3,9.3,3,7.7,39.1,0.3,3,11.1,1.3,2,66.7,1.3,2.3,3.7,3.3,0.7,1,0,4,6,
208,Malique Lewis,2,18.85,9.425,8.8,2.5,0.5,3,16.7,0.5,1,50,0.5,0.5,100,0.5,1.5,2,0.5,1,0,0,1,-2,
209,Nick Pringle,2,18.75,9.375,6.8,3,1,1.5,66.7,0,0,0,1,1,100,1,1.5,2.5,0.5,2,0,0,2,-3,
210,Noa Essengue,3,18.67,6.223333333,21.2,8,2,4.7,42.9,0.3,1.7,20,2,3.7,54.5,1.3,4.3,5.7,1,1.7,1.7,2,4,4,
211,Johni Broome,3,18.65,6.216666667,27.5,14.7,6.3,14,45.2,0.7,5,13.3,0.7,2.7,25,5.3,3.7,9,1.7,2.7,1,1,4,3,
212,Tarris Reed Jr.,3,18.57,6.19,23.1,7.7,3,8.3,36,0,0.3,0,1,1.3,75,3.7,5,8.7,2.3,2.3,0.7,0.3,5,2,
213,DeJon Jarreau,3,18.5,6.166666667,17.5,6.3,2.7,8.3,32,0.3,1.3,25,0.7,1,66.7,1,4.7,5.7,4.7,1.7,1,1.7,1.7,1,
214,Norris Agbakoko,3,18.46,6.153333333,13,4.7,1.3,1.3,100,0,0,0,1,2,50,1,2,3,1.3,1.3,0,1.7,2,-1,
215,Kobe Knox,1,18.45,18.45,12.5,3,1,2,50,1,1,100,0,0,0,1,2,3,1,0,0,2,2,3,
216,Dillon Mitchell,3,18.44,6.146666667,26,13,5.7,12,47.2,1,2.7,37.5,0.3,1.7,20,4,1,5,1.3,2,2.7,1.3,2,-2,
217,Emanuel Miller,3,18.37,6.123333333,24.4,7.3,3,7.7,39.1,0.3,2.3,14.3,0.7,1,66.7,1,4.3,5.3,0.3,1.7,0.3,0.3,1.7,2,
218,Oziyah Sellers,3,18.31,6.103333333,14.7,5,2.3,4.3,53.8,0,1.3,0,0.3,0.3,100,0,2.7,2.7,0.7,1.3,0,0,1.7,-8,
219,Lachlan Olbrich,3,18.3,6.1,14.4,9.3,2,5.3,37.5,0,0.7,0,2.7,3,88.9,1,1.3,2.3,1.3,2.3,1.3,0.7,4,5,
220,Quincy Olivari,3,18.29,6.096666667,18.5,9.3,3,8.3,36,2,5.3,37.5,0.7,1.3,50,0,3.7,3.7,3,2,1.3,0,2.3,-5,
221,Oscar Cluff,3,18.29,6.096666667,18.2,5.3,2,3.7,54.5,0,1,0,0.7,1,66.7,1.7,6,7.7,0.7,1.3,0.7,1,2.7,8,
222,Xaivian Lee,4,18.28,4.57,16.1,5.5,2,6,33.3,0.3,2.5,10,0.8,0.8,100,0,1.8,1.8,2.3,1,0.8,0.3,2.5,-5,
223,Aliou Diarra,3,18.06,6.02,13.9,5.3,1.7,3,55.6,0,0,0,1.3,1.7,80,2.7,4,6.7,0,0.7,0,0,2,2,
224,Jalon Moore,3,18,6,19.3,6,2,5.7,35.3,0.3,1.7,20,1,1.3,75,1,3,4,0.7,1.7,1.3,0,4.7,-4,
225,Yuki Kawamura,4,17.97,4.4925,16.8,9,2.3,6,37.5,0.3,2.5,10,2.3,2.8,81.8,0,1,1,3,1.8,0.3,0,2.3,-1,
226,Miller Kopp,3,17.94,5.98,12,4.7,1.3,5.3,25,1.3,5.3,25,0.3,0.3,100,0,1,1,0.3,0.3,0,0.3,1,-5,
227,John Camden,3,17.85,5.95,16.2,5,1.3,7.3,18.2,1,5.3,18.8,0.7,0.7,100,1.7,1.7,3.3,0.3,1,0.3,0,1.7,-6,
228,Kennedy Chandler,3,17.79,5.93,18.7,8.3,3,7,42.9,0.3,1.7,20,1,1.7,60,1,1,2,4,2.3,1.3,1,1.7,-1,
229,John Ukomadu,2,17.77,8.885,3.5,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100,0,0.5,0.5,0,1.5,0,1,0.5,-3,
230,Cormac Ryan,2,17.72,8.86,25.3,11,3.5,10,35,2,5.5,36.4,1,2.5,40,1.5,5,6.5,1.5,3.5,2,1,3,-19,
231,Asa Newell,2,17.66,8.83,24,9.5,3.5,8,43.8,0.5,2,25,1,3,33.3,1.5,2.5,4,1.5,0.5,1,1,3,8,
232,RJ Melendez,4,17.58,4.395,10.7,5,1.5,4,37.5,0.5,2.3,22.2,0.8,1,75,0.3,2,2.3,0.3,1,0.8,0.3,1.3,7,
233,Trey Alexander,3,17.53,5.843333333,22.9,7.3,2,6.7,30,1,2.7,37.5,1.7,3.7,45.5,1.7,3,4.7,3.3,1.3,2.3,0.3,0.7,-3,
234,Keion Brooks Jr.,4,17.49,4.3725,14.4,6.5,1.5,5,30,0.3,2.3,11.1,1.8,2,87.5,0.8,2.3,3,1,1.3,0.3,0.5,1.3,2,
235,Riley Minix,4,17.45,4.3625,27.6,8.3,3,9.8,30.8,0.3,5,5,1.5,2.3,66.7,1.8,3,4.8,2,1.5,0.8,0.5,2.8,-3,
236,Malik Williams,3,17.45,5.816666667,18.3,4.7,1,4,25,0.7,3,22.2,1,1.3,75,1.3,3,4.3,1.3,1,0.7,0.7,3,3,
237,Jesse Edwards,3,17.45,5.816666667,11.5,4,1.7,3,55.6,0,0,0,0.3,0.3,100,1,0.7,1.7,0.7,1,0.3,0.7,1,-9,
238,Flynn Cameron,2,17.44,8.72,11.5,6.5,2,5,40,1.5,3.5,42.9,0.5,1,50,0.5,1,1.5,2.5,2,1,0,2.5,-1,
239,Enrique Freeman,4,17.42,4.355,22.6,7.5,2.8,6,45.8,0,1.8,0,1.5,2.3,66.7,2.8,5.3,8,1.8,2.8,0,0,2.5,-6,
240,Jamarion Sharp,3,17.36,5.786666667,16.1,7,2.3,3.3,70,0,0,0,1.7,3.7,45.5,3.7,4,7.7,1,2.3,1,3,2.3,-1,
241,Blake Hinson,4,17.33,4.3325,16.1,8.3,2.3,6.8,33.3,1,3.8,26.7,1.5,2.3,66.7,1,1.8,2.8,0.8,0.8,0.5,0,1.8,-5,
242,Jalen Bridges,3,17.31,5.77,18.6,4.7,1.7,4.3,38.5,0.7,3.3,20,0.7,1,66.7,1.3,1.7,3,0.3,0.3,1.3,0,2,3,
243,Aaron Scott,2,17.29,8.645,4.4,4,1.5,2.5,60,0,0,0,0.5,0.5,100,0.5,1,1.5,0,0,0.5,0,0,-4,
244,Will Baker,2,17.28,8.64,6.3,4.5,1.5,3,50,0,0,0,1,1,100,0,0.5,0.5,0.5,0.5,0,0,1.5,2,
245,Nate Johnson,2,17.24,8.62,15.9,5,2,5,40,0,1.5,0,0.5,0.5,100,0.5,1,1.5,1.5,1,2,0,1.5,-7,
246,Jaylen Martin,3,17.23,5.743333333,17.5,9.7,3.3,7.7,43.5,0.7,3.7,18.2,1,2,50,1,2.3,3.3,2.7,3,1,0,1.7,0,
247,Arnas Sakenis,2,17.11,8.555,12.1,2.5,1,2.5,40,0.5,0.5,100,0,0.5,0,1,1,2,0,0.5,0,1,0,6,
248,Buddy Boeheim,3,17.05,5.683333333,19.3,8,2.7,6.7,40,2,5.3,37.5,0.3,0.7,50,0.7,0.7,1.3,0.7,0,0.3,0,2.3,-8,
249,Pete Nance,4,17.04,4.26,25.1,10.5,4,8,50,2.5,5.5,45.5,0,0.3,0,1.3,3,4.3,2.8,1.3,0.5,1,3.8,1,
250,Keon Johnson,4,17.04,4.26,15.7,8,2.3,6.3,36,0.3,3,8.3,1.8,2.3,77.8,0.5,1.5,2,1.3,1.5,1,0.3,1.5,-1,
251,Brandon Angel,2,17,8.5,13.5,4,1.5,3,50,1,1,100,0,0,0,2.5,0.5,3,0,1,0.5,0,2.5,-14,
252,Kobe Stewart,2,16.98,8.49,9.3,3,1,2.5,40,0,1,0,0.5,0.5,100,1,1,2,0,0.5,0,0.5,0,7,
253,Michael Foster Jr.,3,16.89,5.63,15.1,5,2,4.3,46.2,0.3,1.3,25,0.3,0.7,50,0.7,1.7,2.3,0.3,2.3,0.7,1,1.7,8,
254,Christian Anderson,4,16.83,4.2075,26.4,8.5,3.3,10.8,30.2,1.5,6.8,22.2,0.3,0.5,50,0.5,1.8,2.3,3.3,3,0.8,0.3,1.8,-6,
255,Tobe Awaka,3,16.82,5.606666667,21.7,5.3,2.3,3.7,63.6,0,0,0,0.3,0.7,50,4.3,3,7.3,0.3,2.7,1,1.7,5.3,-5,
256,Kowacie Reeves Jr.,1,16.76,16.76,10.3,4,1,3,33.3,0,2,0,2,2,100,1,2,3,0,0,0,1,1,2,
257,Chase Hunter,1,16.71,16.71,3.1,3,1,2,50,1,1,100,0,0,0,1,0,1,0,0,0,0,0,4,
258,Miles Kelly,1,16.68,16.68,12.1,8,3,5,60,2,3,66.7,0,0,0,0,2,2,2,3,0,1,2,-5,
259,Tyler Smith,2,16.68,8.34,14.4,8,2.5,6.5,38.5,1,4.5,22.2,1,1.5,66.7,1,0.5,1.5,1,0.5,0,0.5,1,-6,
260,Keba Keita,3,16.51,5.503333333,12.7,7,3,5,60,0,0,0,0.7,1,66.7,0.7,2,2.7,0.3,0.7,0,1.3,1.3,0,
261,Isaiah Evans,2,16.46,8.23,24.6,12,4.5,15,30,2,10.5,19,0.5,1,50,0.5,1,1.5,0.5,1.5,0.5,0,3,-13,
262,Aday Mara,3,16.46,5.486666667,24.7,8.7,3.3,5,66.7,0,0.3,0,1,3,33.3,2.3,5.3,7.7,3.7,3,0.3,1,2.3,-7,
263,Tyler Nickel,3,16.41,5.47,27.4,14.3,5,12.7,39.5,4.3,9.7,44.8,0,0.7,0,0,4,4,1,1,0,0.7,2,-7,
264,Hayden Gray,3,16.21,5.403333333,16.6,2.7,1,4.3,23.1,0,1,0,0.3,0.3,100,0,1.3,1.3,2.3,2,2.3,0.3,2.3,1,
265,Matt Rogers,4,16.21,4.0525,16.3,8,3.3,5.8,56.5,1.5,2.5,60,0,0,0,0.8,2,2.8,1.5,0.8,0,0,1.3,-1,
