Rank,Player,GP,MSR,MSR AVG,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
1,Osayi Osifo,3,33.83,11.27666667,11,10.7,3,3.3,90,0.3,0.3,100,2.7,2.7,100,1,2,3,0,0.7,0.3,0.3,3,4,
2,Meleek Thomas,3,33.05,11.01666667,30.1,28.3,10.3,20.7,50,3.7,8,45.8,2,2,100,1.7,2.3,4,4.3,1.7,2.3,0.3,4,9,
3,Will Riley,2,33.02,16.51,28.6,25,7,13,53.8,3.5,5,70,5,6,83.3,1,3.5,4.5,2.5,2.5,0,0,3,13,
4,Arthur Kaluma,3,32.88,10.96,23.3,22.3,6.7,9.3,71.4,3.3,5.7,58.8,3.3,3.7,90.9,0.7,2.7,3.3,1.7,2,0,0,2.7,17,
5,Trevor Keels,2,32.77,16.385,27.2,23,9,15,60,4,8,50,0.5,0.5,100,0,4.5,4.5,3,1.5,2,0,1,14,
6,Cameron Hildreth,1,32.39,32.39,16.2,11,3,3,100,2,2,100,2,3,66.7,0,1,1,1,1,1,0,2,8,
7,Bez Mbeng,3,31.97,10.65666667,14.3,6,2,2.3,85.7,0.7,0.7,100,1,1,100,0.3,1.3,1.7,2.7,0,0.7,0,0.3,-1,
8,Caleb Grill,2,31.3,15.65,4,3.5,1,1,100,0.5,0.5,100,0.5,0.5,100,0,0,0,0,0,0,0.5,0,1,
9,Seth Lundy,3,30.54,10.18,27.1,20.3,6.7,13,51.3,4,9,44.4,2,2,100,1.3,2.7,4,1,1.3,1.3,0.3,2.7,11,
10,Yang Hansen,2,30.36,15.18,23.5,15,6,9,66.7,1,1.5,66.7,1,1.5,66.7,2,7.5,9.5,4.5,4,0,0,4.5,13,
11,Jase Richardson,3,30.27,10.09,30.1,18.3,6.7,12.3,54.1,2.3,4.7,50,1.7,1.7,100,1,2.7,3.7,4.7,2.3,1.7,0,2.7,2,
12,Isaiah Wong,2,30.16,15.08,21.1,9.5,2,4,50,1.5,1.5,100,2,2.5,80,0,5.5,5.5,2,2.5,1,0,1,10,
13,Noah Penda,3,30.13,10.04333333,29.4,15,4.7,8.3,56,2.7,5.7,47.1,2,2,100,1.7,5,6.7,3.3,2.3,1.7,2.7,3,2,
14,Allen Graves,3,30.07,10.02333333,27.5,14.7,6,11.7,51.4,2.3,5.3,43.8,0.3,0.3,100,2,5,7,2.7,2.3,2.7,0.7,5,10,
15,Mikel Brown Jr.,2,29.91,14.955,20.4,18,6,11.5,52.2,2.5,5.5,45.5,2,2,100,0,1.5,1.5,4,3,2,1,2.5,18,
16,Tre Johnson,1,29.64,29.64,28.4,26,11,20,55,2,8,25,1,1,100,0,2,2,1,4,1,0,4,5,
17,Chaney Johnson,3,29.59,9.863333333,27.1,14.7,6,9,66.7,1,2.3,42.9,1,1.3,75,5,4.3,9.3,1.7,2.3,3.3,0,2,21,
18,Chaz Lanier,4,29.49,7.3725,31.3,19,6.3,13.3,47.2,5,9.8,51.3,1,1,100,0.3,2,2.3,2,1.5,0.5,0.3,1.8,-1,
19,Khaman Maluach,4,28.99,7.2475,27.4,19.5,6.3,11.8,53.2,2,5,40,3.3,4.8,68.4,2.3,10.5,12.8,1,2.5,1.3,2,3.8,12,
20,Matt Cleveland,2,28.98,14.49,24.6,12,4.5,7.5,60,1,1.5,66.7,1.5,1.5,100,1,3,4,1.5,1,1.5,0,2,-5,
21,Tre White,2,28.75,14.375,26.3,14.5,4,10,40,2.5,6,41.7,2.5,2.5,100,1.5,6,7.5,3,0,2.5,0.5,0.5,16,
22,Bruce Thornton,3,28.6,9.533333333,31.1,20.7,6,14.7,40.9,3,7,42.9,3.7,4.7,78.6,0.7,3,3.7,4.3,1.7,3.3,0,3,13,
23,Egor Dëmin,2,28.26,14.13,22.6,21,6,13.5,44.4,2,7,28.6,3.5,4,87.5,0.5,3,3.5,5,0.5,2.5,0.5,3,24,
24,Jonas Aidoo,4,28.11,7.0275,19.6,9,3.3,6.5,50,0.3,0.3,100,1.3,2,62.5,2.5,6.3,8.8,0.3,3.3,0.3,3.3,4.5,-3,
25,Maliq Brown,4,28.03,7.0075,25.9,5.3,1.3,2,62.5,0.3,0.5,50,1.3,1.3,100,4,2.3,6.3,2,1.5,2.8,0.5,4.5,6,
26,Nate Santos,4,28.03,7.0075,25.7,13.5,4,8.3,48.5,3.5,6.8,51.9,1.3,1.3,100,0.5,2.3,2.8,1.3,2.3,0.5,0.3,3.5,2,
27,Kobe Johnson,3,27.89,9.296666667,20.5,19.3,6.7,12,55.6,2,5.7,35.3,2.3,3,77.8,3,4.3,7.3,2.7,2,1.7,0.7,2,15,
28,Cameron Boozer,3,27.88,9.293333333,27.4,18.7,6,13.7,43.9,1.3,4,33.3,3.3,4,83.3,2,5,7,3.3,3,2.3,0.3,4,13,
29,Lajae Jones,3,27.84,9.28,15.2,10.3,3.7,5.7,64.7,1.3,2.3,57.1,1.3,1.3,100,1.7,2,3.7,0,0.7,0,0.7,1.7,5,
30,Isaiah Crawford,3,27.75,9.25,30.5,17.3,5,12.7,39.5,2,6.7,30,3.3,3.7,90.9,2.3,3.3,5.7,2.7,2,1.3,2.3,4.3,12,
31,Hugo González,3,27.28,9.093333333,34.7,18.3,4.7,14.7,31.8,2.3,9,25.9,4,5,80,1.3,6.7,8,5.7,3.7,1.7,0.3,4,11,
32,Liam McNeeley,3,27.22,9.073333333,26.9,21.7,6.3,14,45.2,3.3,6.3,52.6,4,6,66.7,1,4,5,3.3,4.3,0.3,1,2.3,-2,
33,Ryan Conwell,1,27.19,27.19,27.1,19,7,16,43.8,2,8,25,1,1,100,0,1,1,3,0,0,1,6,10,
34,Zyon Pullin,4,27.16,6.79,29.6,21.8,6,13.3,45.3,1,2.8,36.4,5.3,6.5,80.8,1,4,5,7.8,2.5,1,0.5,2,-1,
35,Kobe Bufkin,3,27.13,9.043333333,30.2,21.3,6.3,14,45.2,2.3,7.3,31.8,4.3,5.3,81.3,1,4.3,5.3,3,3.7,2,1,3.7,-2,
36,Baba Miller,4,27.1,6.775,24,11.3,3.5,5.3,66.7,0.8,1.3,60,2,2.8,72.7,1.3,2.5,3.8,1,1.5,0.5,1.5,3.5,5,
37,Lester Quiñones,4,27.05,6.7625,25.5,16.3,5.5,10.8,51.2,2.5,5.3,47.6,2.3,2.8,81.8,0.8,3,3.8,3,3.5,1,0,3.8,0,
38,Nick Boyd,2,26.88,13.44,16.7,9,3.5,5.5,63.6,1,2,50,0.5,0.5,100,0.5,2,2.5,3.5,0.5,1,0,3.5,3,
39,Nae'Qwan Tomlin,2,26.73,13.365,29.2,18.5,7.5,12,62.5,1.5,3.5,42.9,1,1.5,66.7,1.5,4.5,6,3.5,2,2,2.5,3.5,-5,
40,Ian Martinez,2,26.71,13.355,5.6,3.5,1,2.5,40,0.5,0.5,100,1,1,100,0.5,1,1.5,0.5,1,0,0,1,6,
41,Trevon Brazile,2,26.62,13.31,27.6,18.5,6.5,13.5,48.1,3.5,6.5,53.8,1,1.5,66.7,3.5,5,8.5,0,3,1,0.5,4.5,-7,
42,Kobe Sanders,4,26.37,6.5925,30.6,16.3,5.5,12.8,43.1,1.5,6,25,2,2,100,1.5,3.3,4.8,4,2,1.8,0,3.5,-2,
43,Joan Beringer,1,26.3,26.3,25.3,18,7,15,46.7,0,0,0,3,3,100,4,7,11,1,1,1,4,2,14,
44,Brayden Burries,3,26.3,8.766666667,26.9,22.3,7.7,15.3,50,2.7,6,44.4,3,4.7,64.3,0.7,4,4.7,4,0.3,2.3,1,3.7,-5,
45,Will Richard,3,26.29,8.763333333,25.8,8.7,3.3,7,47.6,1.3,3.3,40,0.3,0.3,100,0.3,2.3,2.7,3.3,3,1.3,0.7,2.7,9,
46,AJ Dybantsa,2,26.21,13.105,25.4,25,6.5,16.5,39.4,0.5,5.5,9.1,6,7,85.7,0,7,7,2,2,2.5,1.5,0.5,13,
47,Yaxel Lendeborg,3,26.18,8.726666667,27.1,16.7,6.3,13,48.7,2,4.7,42.9,1.3,2,66.7,2.7,4.3,7,4.3,2.7,1.7,0,3.7,4,
48,Micah Peavy,2,26.17,13.085,27.1,12.5,4,8.5,47.1,1.5,3,50,1.5,1.5,100,0.5,1.5,2,3,0,1.5,0,2.5,-6,
49,Graham Ike,3,26.02,8.673333333,20,8.7,3.3,7,47.6,0.3,0.7,50,1,1,100,1.3,5,6.3,1.7,1.3,0,0.3,3.7,1,
50,Bennett Stirtz,3,25.86,8.62,27.9,17.7,6.7,13.3,50,2,6.7,30,1.3,1.3,100,0,1,1,3.3,2.7,0.7,0.7,2.3,-10,
51,Tre Donaldson,2,25.73,12.865,28.3,17,7,11.5,60.9,1.5,3.5,42.9,1,1.5,66.7,1,1,2,4.5,2,1.5,0.5,1,2,
52,Jahmai Mashack,3,25.69,8.563333333,18,5.3,1.3,3.3,40,0.7,0.7,100,1,1.3,75,0.7,2.7,3.3,2.3,1,1.3,0.3,1.7,-3,
53,Zuby Ejiofor,2,25.57,12.785,25.5,12.5,2.5,6.5,38.5,1.5,3.5,42.9,3.5,4.5,77.8,2.5,2.5,5,2.5,1.5,1.5,1.5,3.5,16,
54,Quadir Copeland,3,25.56,8.52,29.1,9.7,3.3,5.7,58.8,1,2,50,1,1.7,60,1,3.3,4.3,3.3,2,2.7,0,6.7,10,
55,Nate Bittle,3,25.55,8.516666667,21.4,8.7,3,6.3,47.4,1.3,4,33.3,0.7,0.7,100,1.3,5.3,6.7,2,2.7,0.7,2.7,4.3,3,
56,Jaden Springer,3,25.26,8.42,15.4,7.7,2.3,4.3,53.8,0.7,0.7,100,1.3,2.3,57.1,0,1,1,1,1.7,1,1,1.3,-1,
57,Morez Johnson,2,25.23,12.615,30.3,18.5,8,12.5,64,0.5,2.5,20,1.5,2,75,1.5,5,6.5,1.5,1.5,2.5,3,7,-11,
58,Malaki Branham,4,25.21,6.3025,24,15.8,5,11,45.5,1.3,3.8,33.3,3.5,3.8,93.3,1,2.8,3.8,1.5,3.8,1.3,0.3,1.3,-4,
59,Tyreke Key,3,25.19,8.396666667,18.3,13.7,3.3,6.7,50,1.3,3.3,40,3,3,100,0.3,1.7,2,1.3,1.7,0.3,0.3,1.7,0,
60,Brandon Boston Jr.,3,25.17,8.39,18.4,11.3,3.3,7.3,45.5,2,4,50,1.3,1.3,100,1.3,0.3,1.7,1.3,1,0.7,0.7,0.3,0,
61,Ja'Kobi Gillespie,4,25.13,6.2825,26.3,16,6,15,40,2,6.5,30.8,1.5,1.8,85.7,1.8,1.5,3.3,4.3,3.3,2,0.5,3,0,
62,KJ Simpson,2,25.11,12.555,29.6,18,5,14,35.7,1.5,6,25,4.5,5.5,81.8,1,2,3,6.5,4.5,1,0.5,5,1,
63,Nick Martinelli,4,25.11,6.2775,22.9,14,5.5,10,55,0.8,1.5,50,1.3,2,62.5,2,4.5,6.5,1.5,1,0.8,0,3.3,6,
64,Jaxson Robinson,4,24.99,6.2475,23,10.3,3.5,9.3,37.8,2.5,6.8,37,0.5,0.5,100,0.8,3,3.8,1.5,0.8,1.5,0.3,2,5,
65,Jalen Slawson,4,24.92,6.23,25.6,20.5,6,14,42.9,1.5,5.8,26.1,4.3,5.5,77.3,1.8,5.3,7,2.5,3.8,0.5,3,4.8,-9,
66,Javon Small,3,24.9,8.3,28.1,14.7,4.3,10.7,40.6,2,6,33.3,2.7,3,88.9,0.7,1.7,2.3,4.7,0.3,1.3,0.7,2,1,
67,Milos Uzan,4,24.74,6.185,28.4,9.3,3,9.3,32.4,1.5,4.5,33.3,1,1,100,0.8,4.3,5,4.3,1.3,0,0,2,6,
68,Jayson Kent,3,24.74,8.246666667,26.9,11.7,3,8,37.5,1.3,4.7,28.6,2,2,100,2.7,2.7,5.3,1.7,1,1.3,0.3,3.7,3,
69,Donovan Williams,4,24.67,6.1675,24.4,14.3,4.5,9.8,46.2,0.8,2.8,27.3,2.8,2.8,100,1,0.8,1.8,1.3,0.3,1.3,0.5,4,0,
70,Jonathan Mogbo,3,24.65,8.216666667,24.2,10.7,3.3,7.7,43.5,0.3,0.7,50,2.3,3,77.8,3.7,5.3,9,2.3,1.7,0.7,1,2.3,-3,
71,Emanuel Sharp,4,24.64,6.16,22.7,15.8,4.3,10.8,39.5,3,8.3,36.4,2.8,3,91.7,0.5,1.8,2.3,0.8,1.3,2.8,0.3,4.3,-6,
72,Andersson Garcia,1,24.6,24.6,14,6,2,2,100,2,2,100,0,1,0,1,1,2,2,0,0,0,3,8,
73,Cameron Corhen,1,24.49,24.49,16.9,10,3,4,75,0,0,0,2,2,100,0,2,2,3,0,2,0,4,19,
74,Dante Maddox Jr.,4,24.48,6.12,26.9,15.8,4.8,12.3,38.8,2.3,6.3,36,2.3,2.8,81.8,1,2.3,3.3,1.5,1.8,1,0,1.8,2,
75,Jaylin Sellers,3,24.42,8.14,29.5,17.3,5,12.3,40.5,2,7,28.6,3.7,4.7,78.6,0.7,2.3,3,2.7,2.3,1.7,1,3.3,-2,
76,Cameron Carr,2,24.41,12.205,29,20.5,7.5,15.5,48.4,2,7.5,26.7,2.5,4,62.5,0,1.5,1.5,1.5,1,0.5,1.5,3.5,7,
77,Brice Williams,4,24.31,6.0775,27.1,14.8,4,9.5,42.1,2.5,6,41.7,2.8,3.5,78.6,0.3,4.8,5,2,2.5,0.8,0.8,2.3,-8,
78,Kam Jones,2,24.27,12.135,20.8,9,3,7,42.9,1.5,4,37.5,1,1,100,0,2.5,2.5,5.5,1,0.5,0,2,1,
79,Jahmyl Telfort,3,24.26,8.086666667,19,6.7,2.3,5.3,43.8,1.3,3.3,40,0.3,0.3,100,0.7,1.7,2.3,2.3,0.3,0.3,0,1.7,11,
80,Rienk Mast,3,24.25,8.083333333,28.8,16.3,6,12.7,47.4,2,6.7,30,1.3,2,66.7,5.3,4.7,10,2,1.7,0.3,0.3,1.3,-3,
81,Darin Green Jr.,2,24.18,12.09,13,12,4,6,66.7,3.5,5.5,63.6,0.5,1,50,0.5,1,1.5,2.5,1,1,0,0.5,8,
82,Payton Sandfort,3,24.15,8.05,21.3,13.3,5.3,12,44.4,1.7,5.7,29.4,1,1,100,0.7,2.7,3.3,0.7,1.7,0,0.3,2,-5,
83,Cedric Coward,3,24.04,8.013333333,27.4,14.7,4.7,14,33.3,1.3,5.7,23.5,2.3,3,77.8,3,6,9,4,3.3,0.7,1,4.7,1,
84,Darius Brown II,4,24.02,6.005,23.3,11.5,3.8,7,53.6,1.8,4,43.8,1.5,2.3,66.7,0.8,3.8,4.5,5.5,2.5,1,0,1.8,1,
85,Carter Bryant,2,23.92,11.96,23.6,15.5,5.5,11.5,47.8,1.5,4.5,33.3,2,2.5,80,0.5,1.5,2,0.5,4,0.5,2,1.5,-1,
86,Jahmir Young,3,23.88,7.96,27.9,19.3,6.7,17.3,38.5,2,7.7,26.1,2.7,4,66.7,0.3,2,2.3,5,2.7,2.3,0.3,1,4,
87,Caleb Wilson,3,23.79,7.93,28.7,24.3,9,17.7,50.9,4,8.3,48,1,4.3,23.1,2.7,4.3,7,1.7,4.3,1.3,3,3.3,-9,
88,Sean Pedulla,4,23.76,5.94,24,11,3,10.3,29.3,1.5,5.5,27.3,2,2.3,88.9,0.5,3.3,3.8,4.8,2.8,1.3,0,3,13,
89,Ian Schieffelin,3,23.67,7.89,15.3,7.7,2.3,5,46.7,1,2.7,37.5,1.3,1.3,100,1.3,1.3,2.7,0.7,1,0.3,0.3,3.3,5,
90,LJ Cryer,3,23.6,7.866666667,24.4,14,4.7,11.3,41.2,2.7,7.7,34.8,1,1.3,75,0,2.3,2.3,3.3,0.7,1,0,1.3,7,
91,Chris Livingston,4,23.58,5.895,24.8,13,5,9,55.6,1,2.5,40,1.5,2.3,66.7,1.5,3,4.5,2.3,1,1,0.3,1.8,-1,
92,Danny Wolf,3,23.44,7.813333333,22.3,14.3,5.3,10.7,50,0.3,3,11.1,2,2.7,75,1.7,3.3,5,1.7,2,0.7,0.3,4,19,
93,Isaac Jones,4,23.39,5.8475,30,17,5.3,11.8,44.7,0.5,2.8,18.2,3,3.8,80,2.3,5.8,8,1.8,1.8,1,1.3,2.8,-8,
94,DJ Steward,2,23.32,11.66,21.6,15.5,6,14.5,41.4,2.5,6,41.7,0.5,1,50,1.5,4.5,6,3.5,4,1,0.5,2.5,9,
95,Brendan Hausen,1,23.3,23.3,19.2,20,7,9,77.8,6,8,75,0,0,0,0,3,3,1,0,0,0,0,4,
96,Keaton Wagler,3,23.29,7.763333333,28.1,15.3,4.3,12.7,34.2,2,5.7,35.3,2.7,3.3,80,0.7,2.3,3,3,1.7,0.3,0,5.3,-7,
97,Tamar Bates,3,23.27,7.756666667,19.7,10,3.7,5.7,64.7,1,2,50,0.7,1,66.7,1.3,2,3.3,1,0.3,0.3,0,2.3,-3,
98,Josh Dix,3,23.21,7.736666667,22.8,9,3.3,7.7,43.5,1.7,5,33.3,0.3,0.3,100,0.3,3,3.3,1.3,0.7,0,0.3,1.3,-5,
99,Darryn Peterson,3,23.15,7.716666667,28.2,20.7,5.3,17.3,30.8,1,4.3,23.1,5.3,7,76.2,1,2,3,4,4.7,1,1.3,5.3,-10,
100,Ebuka Okorie,4,23.1,5.775,30.8,16,5.8,17,33.8,0.8,4.5,16.7,2.5,3,83.3,0.8,2.5,3.3,4.8,3,2.8,0.3,3.3,-4,
101,Amani Lyles,4,23.1,5.775,16,12,4,7,57.1,0.8,2.3,33.3,1.8,2,87.5,2,1.8,3.8,0.5,2.3,1,0.5,1.3,-6,
102,Jack Kayil,2,23.08,11.54,25.2,15.5,5.5,13.5,40.7,2.5,7,35.7,1,1.5,66.7,1.5,1.5,3,3.5,2,2.5,0,1,1,
103,Pacôme Dadiet,2,23,11.5,21.9,16.5,5,14,35.7,1,6.5,15.4,3,3,100,2,3,5,0.5,1.5,1.5,0.5,1,-7,
104,Labaron Philon,4,22.96,5.74,32,18.5,7.3,19,38.2,2,7.8,25.8,1.3,2,62.5,0.8,2.8,3.5,5.8,2.5,1.5,0.3,1,-5,
105,Markquis Nowell,4,22.93,5.7325,22.6,13,3.5,9.3,37.8,2.5,6.5,38.5,2,2.5,80,0.3,2.3,2.5,4.3,1.8,3.3,0.3,3.3,-7,
106,Chris Youngblood,3,22.93,7.643333333,26.3,14,4.3,12.7,34.2,1.3,7.7,17.4,2.3,2.7,87.5,1,3,4,1.7,2.3,0.3,0.3,4.3,2,
107,Tristen Newton,3,22.93,7.643333333,24.5,16,4,11,36.4,1.3,4.7,28.6,3.3,4.7,71.4,2.7,1.7,4.3,1.7,2,2,0,4,5,
108,Chance McMillian,3,22.91,7.636666667,14.2,8.3,3,6.7,45,1.7,4,41.7,0.3,0.3,100,0.3,1.3,1.7,0.3,1,0,0,1.3,-2,
109,John Tonje,4,22.87,5.7175,25.5,15,5,10.5,47.6,3,6.5,46.2,1.3,2.3,55.6,0.5,2.8,3.3,0.5,2,1.3,0,1.8,-2,
110,Bryce Hopkins,3,22.87,7.623333333,25.6,18,7,13.3,52.5,0.7,2.7,25,2,3.3,60,2,4,6,1,2,1.3,1,1.3,0,
111,Hannes Steinbach,4,22.84,5.71,23.3,14.3,5.5,9.5,57.9,0,0,0,2,2.3,88.9,3.8,5,8.8,1.8,3.5,0.5,0.8,2.5,-2,
112,Matthew Murrell,2,22.81,11.405,20.6,7,2,5,40,0.5,2,25,1,1,100,1,2.5,3.5,1.5,1,2,0,0.5,12,
113,Andrew Carr,3,22.8,7.6,14.2,6.7,2,5,40,1,2.7,37.5,1,1,100,2,2.3,4.3,0.7,0.3,0.3,0.7,3.3,3,
114,Nate Ament,4,22.73,5.6825,22.6,11,3.8,7.5,50,1.3,3.8,33.3,1.5,1.8,85.7,0.5,3.8,4.3,1,2.3,0.5,0.3,2.3,-10,
115,Ben Saraf,3,22.65,7.55,24.2,11,3,8.7,34.6,0.7,2.7,25,2.7,3.3,80,0,2,2,3.7,1.3,1.3,0.3,1,19,
116,Chucky Hepburn,2,22.62,11.31,29.1,6.5,2.5,10.5,23.8,0.5,6,8.3,0.5,0.5,100,0,3.5,3.5,6.5,2,1.5,0,4,17,
