Rank,Player,GP,MSR,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
92,Asa Newell,1,22.19,23.1,15,5,11,45.5,1,3,33.3,2,4,50,2,3,5,2,0,1,1,3,12,
93,John Butler Jr.,1,22.06,5.6,6,1,2,50,1,2,50,1,1,100,2,0,2,0,2,0,0,1,-6,
94,Hunter Dickinson,1,21.86,24.2,12,4,9,44.4,2,4,50,1,2,50,5,1,6,3,3,1,2,6,-11,
95,Erik Reynolds II,1,21.8,5,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,6,
96,Nimari Burnett,1,21.79,23.9,10,4,10,40,0,4,0,1,1,100,1,1,2,5,1,0,0,4,10,
97,Danny Wolf,1,21.75,20.9,9,2,6,33.3,1,3,33.3,2,4,50,3,5,8,3,1,0,1,2,30,
98,Keion Brooks Jr.,1,21.74,14.5,11,3,7,42.9,0,2,0,3,3,100,0,5,5,1,1,0,1,0,18,
99,Riley Kugel,1,21.51,4.1,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,4,
100,Adou Thiero,1,21.42,30.1,20,8,14,57.1,0,5,0,2,5,40,1,3,4,4,0,3,2,3,13,
101,DeJon Jarreau,1,21.41,17.9,9,3,8,37.5,1,2,50,2,3,66.7,3,4,7,3,4,0,2,2,-11,
102,Jalen Slawson,1,21.28,23.2,15,4,15,26.7,2,9,22.2,4,6,66.7,2,4,6,5,3,1,5,6,-13,
103,Aaron Scott,1,21.23,4.3,4,1,1,100,0,0,0,1,1,100,1,2,3,0,0,0,0,0,-6,
104,Yang Hansen,1,21.19,26.2,12,5,10,50,2,3,66.7,0,1,0,3,6,9,4,4,0,0,4,6,
105,Kobe Sanders,1,21.08,32.8,10,3,10,30,0,5,0,2,2,100,2,4,6,4,1,4,0,3,-8,
106,Koa Peat,1,21.05,28,17,6,11,54.5,0,0,0,3,5,60,2,4,6,4,3,0,1,8,-2,
107,Vladislav Goldin,1,20.99,19.9,14,4,8,50,0,0,0,3,4,75,1,5,6,2,1,0,2,3,12,
108,Daishen Nix,1,20.96,25.4,10,3,7,42.9,1,3,33.3,3,5,60,2,0,2,1,6,1,1,2,1,
109,Sergio De Larrea,1,20.86,28,9,3,13,23.1,1,8,12.5,1,1,100,1,5,6,4,1,1,1,2,-12,
110,Buddy Boeheim,1,20.85,22.9,8,2,8,25,2,7,28.6,1,1,100,1,1,2,1,0,1,0,2,-5,
111,Taylor Hendricks,1,20.75,25.2,10,3,9,33.3,0,5,0,2,2,100,1,4,5,1,1,0,4,5,-3,
112,Sean Pedulla,1,20.66,20.4,11,1,8,12.5,1,6,16.7,4,4,100,0,0,0,2,6,2,0,2,10,
113,Dailyn Swain,1,20.56,30.6,7,3,10,30,0,3,0,1,1,100,1,3,4,3,2,1,0,4,2,
114,Chris Youngblood,1,20.51,31,8,3,13,23.1,0,8,0,1,1,100,2,3,5,1,2,0,1,5,-2,
115,Arnas Sakenis,1,20.51,17.1,5,2,5,40,1,1,100,0,0,0,2,2,4,0,1,0,2,0,23,
116,Mark Mitchell Jr.,1,20.5,14,8,3,5,60,0,2,0,2,2,100,2,1,3,0,0,0,0,0,3,
117,RayJ Dennis,1,20.47,15.8,10,3,7,42.9,0,3,0,2,2,100,0,2,2,3,1,3,0,0,8,
118,KJ Simpson,1,20.35,30,17,4,13,30.8,0,4,0,6,7,85.7,0,2,2,9,4,1,1,7,-20,
119,Tyreke Key,1,20.19,16.3,6,2,6,33.3,1,3,33.3,1,1,100,0,2,2,1,3,0,0,2,-11,
120,Gabe Madsen,1,19.96,24.1,4,1,8,12.5,0,6,0,1,1,100,2,5,7,2,3,1,1,3,18,
121,Ryan Nembhard,1,19.95,33.8,15,6,15,40,1,6,16.7,1,2,50,0,3,3,11,2,1,1,4,-12,
122,Rashaun Agee,1,19.87,13.7,4,1,2,50,0,0,0,1,1,100,1,4,5,0,2,1,1,3,9,
123,Anthony Pritchard,1,19.79,18.5,10,4,9,44.4,0,0,0,1,1,100,2,3,5,2,4,2,0,1,-9,
124,Brooks Barnhizer,1,19.76,23.7,12,3,7,42.9,0,0,0,3,4,75,3,7,10,2,2,2,1,5,-5,
125,Cormac Ryan,1,19.67,22.1,7,2,7,28.6,1,4,25,1,1,100,1,7,8,1,4,0,2,3,-28,
126,Ben Humrichous,1,19.56,18.6,9,3,5,60,3,5,60,0,0,0,1,4,5,0,0,0,0,2,20,
127,Chris Livingston,1,19.55,17.5,7,3,5,60,0,0,0,1,1,100,2,1,3,1,1,1,0,0,-8,
128,Jaden Springer,1,19.47,14.7,4,1,1,100,0,0,0,1,2,50,0,2,2,1,2,2,2,1,9,
129,Johni Broome,1,19.14,27.4,19,9,18,50,1,5,20,0,1,0,8,5,13,2,4,1,2,4,2,
130,Drake Allen,1,19.13,10.3,4,1,2,50,0,1,0,1,1,100,1,2,3,4,0,0,1,0,10,
131,Tyler Nickel,1,18.98,22.3,18,6,11,54.5,6,10,60,0,1,0,0,4,4,0,0,0,0,2,-9,
132,Trevor Keels,1,18.94,24.6,14,6,11,54.5,2,6,33.3,0,0,0,0,5,5,4,2,3,0,0,19,
133,Javon Small,1,18.75,28.8,15,5,14,35.7,0,5,0,4,5,80,1,1,2,3,0,2,0,3,-17,
134,Jonas Aidoo,1,18.7,18,8,3,5,60,0,0,0,1,2,50,2,3,5,0,3,0,5,8,14,
135,Trevon Brazile,1,18.66,28.6,5,2,8,25,1,1,100,0,1,0,5,6,11,0,4,1,0,5,-17,
136,Morez Johnson,1,18.55,25.8,17,8,12,66.7,1,4,25,0,0,0,1,7,8,3,1,2,2,6,-4,
137,Pete Nance,1,18.53,26.3,16,6,10,60,4,8,50,0,0,0,1,6,7,0,1,0,2,2,-14,
138,Anton Watson,1,18.36,22.6,15,6,12,50,3,6,50,0,0,0,1,0,1,4,2,1,0,0,10,
139,Nate Bittle,1,18.24,25.5,8,3,7,42.9,2,5,40,0,0,0,2,8,10,3,3,0,6,4,13,
140,Michael Ajayi,1,18.1,13,7,3,4,75,1,2,50,0,2,0,3,4,7,2,0,1,1,3,3,
141,Basheer Jihad,1,18.04,19.1,10,4,5,80,0,0,0,1,3,33.3,1,2,3,2,0,1,2,3,11,
142,Enrique Freeman,1,18.03,24.4,10,3,7,42.9,0,2,0,3,5,60,2,4,6,0,5,0,0,3,3,
143,Olivier-Maxence Prosper,1,17.92,28.5,13,5,12,41.7,1,5,20,1,2,50,1,4,5,1,4,0,0,3,-18,
144,Carter Bryant,1,17.74,24.6,12,4,13,30.8,1,7,14.3,2,3,66.7,0,2,2,1,4,0,2,2,-14,
145,Brice Williams,1,17.68,26.8,9,1,5,20,0,1,0,3,3,100,0,8,8,2,4,1,0,3,-18,
146,Tristen Newton,1,17.52,25.8,13,3,9,33.3,0,4,0,4,7,57.1,2,1,3,2,1,3,0,7,0,
147,Latrell Wrightsell Jr.,1,17.49,11.9,3,1,2,50,1,1,100,0,0,0,0,1,1,1,0,0,0,0,2,
148,Dillon Jones,1,17.29,23.2,6,1,6,16.7,0,3,0,2,2,100,0,3,3,4,3,3,1,3,-7,
149,William Hickey,1,17.13,16.2,9,4,7,57.1,1,2,50,0,1,0,2,5,7,3,1,1,0,1,4,
150,Noa Essengue,1,17.08,28.9,10,2,5,40,0,2,0,3,7,42.9,2,3,5,1,1,2,4,5,7,
151,Brandon Boston Jr.,1,17.03,14.3,6,2,5,40,0,1,0,1,1,100,2,0,2,0,1,2,0,0,-7,
152,Vsevolod Ishchenko,1,16.97,26,7,2,4,50,0,0,0,2,3,66.7,1,2,3,1,0,1,0,2,-1,
153,RJ Davis,1,16.94,24.7,12,5,10,50,0,3,0,2,3,66.7,2,0,2,3,3,2,0,1,-20,
154,Rocco Zikarsky,1,16.92,25.3,9,3,11,27.3,1,3,33.3,1,3,33.3,2,4,6,2,4,1,0,3,-3,
155,Jahmai Mashack,1,16.83,13,4,1,3,33.3,0,0,0,1,1,100,0,1,1,0,0,2,0,0,8,
156,J'Vonne Hadley,1,16.62,24.2,4,0,1,0,0,0,0,3,3,100,1,6,7,2,1,2,0,5,7,
157,Orlando Robinson,1,16.38,22.1,10,3,6,50,0,1,0,2,3,66.7,2,4,6,0,2,0,1,3,-18,
158,Oziyah Sellers,1,16.29,16.9,5,2,4,50,0,1,0,1,1,100,0,1,1,1,1,0,0,2,-24,
159,Yuki Kawamura,1,16.15,17.5,8,3,5,60,0,2,0,1,2,50,0,1,1,4,1,0,0,2,4,
160,Braden Smith,1,16.14,29.9,5,1,8,12.5,1,5,20,1,2,50,1,7,8,4,4,3,0,4,-5,
161,Tyler Smith,1,16.06,10.3,7,2,5,40,1,3,33.3,1,2,50,1,0,1,0,1,0,1,1,1,
162,Nick Martinelli,1,15.82,21.5,11,2,7,28.6,0,1,0,4,7,57.1,1,4,5,2,3,0,0,2,2,
163,Koby Brea,1,15.73,25,5,1,7,14.3,0,4,0,2,2,100,0,2,2,2,3,1,0,2,-15,
164,Lachlan Olbrich,1,15.64,15.4,12,2,8,25,0,0,0,4,5,80,1,1,2,1,4,1,0,3,-8,
165,Norchad Omier,1,15.59,17.9,7,1,5,20,1,3,33.3,2,3,66.7,2,1,3,1,1,0,0,4,-16,
166,Gabe McGlothan,1,15.58,16.8,6,2,5,40,0,1,0,1,2,50,1,4,5,0,0,0,1,2,19,
167,"Ernest Udeh, Jr.",1,15.39,19.9,4,1,4,25,0,0,0,1,1,100,2,0,2,1,0,1,0,2,-10,
168,Jaden Bradley,1,15.24,18.3,3,1,9,11.1,0,0,0,1,1,100,1,4,5,2,2,0,0,2,-8,
169,Isaac McKneely,1,15.22,22.2,10,4,9,44.4,2,7,28.6,0,0,0,1,1,2,2,1,0,0,1,17,
170,Keaton Wagler,1,15.19,26.6,7,1,7,14.3,1,5,20,3,4,75,1,1,2,1,1,0,0,5,-23,
171,Payton Sandfort,1,15.16,19.2,10,4,9,44.4,2,5,40,0,0,0,2,5,7,0,2,0,0,2,0,
172,Drake Powell,1,15.09,20.9,1,0,7,0,0,3,0,1,1,100,1,2,3,1,0,0,0,3,7,
173,Keshon Gilbert,1,15.02,19.8,10,5,7,71.4,0,1,0,0,2,0,1,4,5,5,4,2,0,3,10,
174,Lester Quiñones,1,14.91,23.7,10,4,11,36.4,2,4,50,0,0,0,2,1,3,4,1,1,0,1,-5,
175,Kobe Johnson,1,14.88,16.3,11,5,11,45.5,1,5,20,0,1,0,4,4,8,0,2,2,1,0,12,
176,John Poulakidas,1,14.86,24,14,5,15,33.3,4,12,33.3,0,0,0,1,1,2,1,0,0,0,2,1,
177,Nate Johnson,1,14.69,16.2,4,1,6,16.7,0,2,0,1,1,100,0,1,1,2,1,0,0,2,-8,
178,Will Richard,1,14.52,27.2,6,3,5,60,0,0,0,0,0,0,1,3,4,6,2,2,1,3,22,
179,Taye Fields,1,14.5,21,2,1,1,100,0,0,0,0,0,0,4,2,6,2,0,2,0,3,1,
180,Lawson Lovering,1,14.48,15.8,8,4,4,100,0,0,0,0,0,0,1,0,1,0,0,0,0,4,7,
181,Alex Morales,1,14.42,27.2,6,2,5,40,0,2,0,1,2,50,0,4,4,0,3,1,0,3,-6,
